x,y,English Name,Type
114.1499484,22.27000739,The Peak( Public Transport Terminus),GMB
114.1629573,22.26825898,Guildford Road,GMB
114.1564211,22.2801241,No.18 Ice House Street,GMB
114.1573315,22.28170472,"Pedder Street,  near MTR exit",GMB
114.1584651,22.28589753,Central (Hong Kong Station Public Transport Interchange),GMB
114.1585748,22.28502614,"Man Cheung Street,  lay-by outisde Two International Finance Centre Shopping Mall",GMB
114.1613066,22.28183864,"Connaught Road Central,  Outside CityHall Carpark",GMB
114.1604004,22.27770038,"Cotton Tree Drive,  Bus Bay Opposite Murray Building",GMB
114.1493861,22.25952299,Matilda & War Memorial Hospital,GMB
114.1557217,22.2762264,1 Macdonald Road,GMB
114.1571271,22.27561402,"Park Mansion,  Tramway Path",GMB
114.1581307,22.27547789,"Macdonnell Road,  Outside St. Pauls Co-educational College",GMB
114.1607692,22.27547167,65-73 Macdonald Road,GMB
114.1561021,22.27362848,"May Road Peak Tram Statiom,  West of Post Box No.58",GMB
114.1533479,22.2753697,"Near Dynasty Court,  Old Peak Road",GMB
114.1561199,22.27361297,"May Road Peak Tram Station,  Opposite Post Box No.58",GMB
114.1586642,22.28348261,Connaught Place outside Exchange Square,GMB
114.1550708,22.27644436,"Garden Terrace,  Robinson Road",GMB
114.1638616,22.27982018,Far East Finance Centre,GMB
114.15497,22.27659787,"Robinson Road,  Villa Elegance",GMB
114.1510846,22.27872283,11 Conduit Road,GMB
114.1502444,22.27930891,opposite to No.26 Conduit Road,GMB
114.1490074,22.2804836,No.31 Conduit Road,GMB
114.1420507,22.2814738,No.51 Conduit Road,GMB
114.1399111,22.28114695,"Conduit Road,  Near Kotewall Road",GMB
114.1389413,22.28078068,Kotewall Road No.15,GMB
114.1413382,22.28035861,"Near Po Shan Mansions,  Po Shan Road",GMB
114.1389386,22.28077932,"Kotewall Road,  Opposite No.15",GMB
114.1399128,22.2811465,"Kotewall Road,  Near Conduit Road",GMB
114.1420334,22.28146252,"Conduit Road,  Opposite No.51",GMB
114.1480197,22.28106359,No.56 Conduit Road,GMB
114.1495861,22.28022662,No.38 Conduit Road,GMB
114.150637,22.27899168,No.22 Conduit Road,GMB
114.1514846,22.27851312,No.3 Conduit Road,GMB
114.1510846,22.27872283,No.11 Conduit Road,GMB
114.1502444,22.27930891,No.26 Conduit Road,GMB
114.1389386,22.28077932,Opposite to Kotwall Road No.15,GMB
114.1480197,22.28106359,Conduit Road No.56,GMB
114.1495861,22.28022662,Conduit Road No.38,GMB
114.1572516,22.24996913,Shek Pai Wan Estate Public Transport Interchange,GMB
114.1538218,22.24897419,"Nam Ning Street,  Outside Hoi Tsing Court",GMB
114.1557453,22.24896744,No.178 Aberdeen Main Road,GMB
114.1642194,22.2484212,"Wong Chuk Hang Road,  house no. 23",GMB
114.1677145,22.24935123,"Wong Chuk Hang Road,  house no. 49-51",GMB
114.1756571,22.24990279,"Wong Chuk Hang Road,  Eastbound Bus Bay Near Aberdeen Tunnel",GMB
114.1802154,22.27584018,No. 80-82 Morrison Hill Road,GMB
114.1801784,22.27705763,No.32 Morrison Hill Road,GMB
114.1788007,22.27782302,No.221 Wan Chai Road,GMB
114.178029,22.27762553,No.187 Wan Chai Road,GMB
114.1767786,22.2769854,No.151 Wan Chai Road,GMB
114.1748924,22.27696078,"Fleming Road,  outside Tai Yau Building",GMB
114.1758616,22.27794569,No.233-235 Hennessy Road,GMB
114.1791239,22.27868407,No.347 Hennessy Road,GMB
114.1825898,22.28050377,"Lockhart Road,  outside Causeway Bay Plaza Phase 1",GMB
114.1836307,22.28151337,"Near President Theatre,  Cannon Street",GMB
114.176793,22.27699155,No.160 Wan Chai Road,GMB
114.1786927,22.27781514,No.222 Wan Chai Road,GMB
114.1802932,22.27519421,"Morrison Hill Road,  bus stop outside Happy Valley Racecourse",GMB
114.1704659,22.2503482,"Wong Chuk Hang Road,  outside Wong Chuk Hang Recreation Ground",GMB
114.1662866,22.24839712,No.36 Wong Chuk Hang Road,GMB
114.1592979,22.24762064,"Aberdeen Praya Road,  Outside Ocean Court",GMB
114.1559021,22.2470581,"Aberdeen Praya Road,  opposite to Aberdeen Bus Terminus",GMB
114.1549415,22.24881816,Opposite Sai On Street No.12,GMB
114.1746555,22.2767101,No. 168 Johnston Road,GMB
114.1734639,22.27657364,No. 128 Johnston Road,GMB
114.172116,22.27642376,No. 76 Johnston Road,GMB
114.1712679,22.27648284,No. 60 Johnston Road,GMB
114.1711892,22.27560633,No. 3-5 Tai Wong Street East,GMB
114.1715609,22.27615978,No. 30 Tai Wong Street East,GMB
114.1722299,22.27643578,"Johnston Road,  Outside Southorn Playground",GMB
114.1739264,22.27662427,No. 141-147 Johnston Road,GMB
114.1786927,22.27781514,Wanchai Road No.222,GMB
114.1538218,22.24897419,"Nan Ning Street,  Outside Hoi Tsing Court",GMB
114.1549415,22.24881816,"Sai On Street,  Opposite No.12",GMB
114.1543858,22.24900005,"Nam Ning Street,  Outside Hoi Wun Court",GMB
114.1680018,22.24827001,Wong Chuk Hang Station,GMB
114.1556794,22.24842863,"Aberdeen Main Road,  outside Kam Fung Building",GMB
114.1565785,22.25139238,Aberdeen Reservoir Road,GMB
114.1551553,22.24882657,"Sai On Street,  Outside Port Centre",GMB
114.1590048,22.24973266,"Yue Kwong Road,  outside Shek Pai Wan Estate",GMB
