route_name,route_seq,route_name_seq_area,area,stop_u,stop_v,route_id_seq,route_id,agency_id,route_short_name,route_long_name,Weekday Frequency,Weekend Frequncy,ti_min_weekday,,ti_max_weekday
GMB 1,1,GMB 1-1-HKI,HKI,The Peak( Public Transport Terminus),Guildford Road,2002-1,2002,GMB,1,山顶-中环,5-15min,5-15min,5,15min,15
GMB 1,1,GMB 1-1-HKI,HKI,Guildford Road,No.18 Ice House Street,2002-1,2002,GMB,1,山顶-中环,5-15min,5-15min,5,15min,15
GMB 1,1,GMB 1-1-HKI,HKI,No.18 Ice House Street,"Pedder Street,  near MTR exit",2002-1,2002,GMB,1,山顶-中环,5-15min,5-15min,5,15min,15
GMB 1,1,GMB 1-1-HKI,HKI,"Pedder Street,  near MTR exit",Central (Hong Kong Station Public Transport Interchange),2002-1,2002,GMB,1,山顶-中环,5-15min,5-15min,5,15min,15
GMB 1,2,GMB 1-2-HKI,HKI,Central (Hong Kong Station Public Transport Interchange),"Man Cheung Street,  lay-by outisde Two International Finance Centre Shopping Mall",2002-2,2002,GMB,1,山顶-中环,5-15min,5-15min,5,15min,15
GMB 1,2,GMB 1-2-HKI,HKI,"Man Cheung Street,  lay-by outisde Two International Finance Centre Shopping Mall","Connaught Road Central,  Outside CityHall Carpark",2002-2,2002,GMB,1,山顶-中环,5-15min,5-15min,5,15min,15
GMB 1,2,GMB 1-2-HKI,HKI,"Connaught Road Central,  Outside CityHall Carpark","Cotton Tree Drive,  Bus Bay Opposite Murray Building",2002-2,2002,GMB,1,山顶-中环,5-15min,5-15min,5,15min,15
GMB 1,2,GMB 1-2-HKI,HKI,"Cotton Tree Drive,  Bus Bay Opposite Murray Building",Guildford Road,2002-2,2002,GMB,1,山顶-中环,5-15min,5-15min,5,15min,15
GMB 1,2,GMB 1-2-HKI,HKI,Guildford Road,Matilda & War Memorial Hospital,2002-2,2002,GMB,1,山顶-中环,5-15min,5-15min,5,15min,15
GMB 1,2,GMB 1-2-HKI,HKI,Matilda & War Memorial Hospital,The Peak( Public Transport Terminus),2002-2,2002,GMB,1,山顶-中环,5-15min,5-15min,5,15min,15
GMB 1,1,GMB 1-1-NT,NT,"Fuk Man Road Public Light Bus Terminus,  Outside King Wah Building","Hiram^s Highway,  Outside Hebe Haven Yacht Club",2002337-1,2002337,GMB,1,西貢 - 九龍灣(德福花園),8-20min,10-20min,8,20min,20
GMB 1,1,GMB 1-1-NT,NT,"Hiram^s Highway,  Outside Hebe Haven Yacht Club","Hiram^s Highway,  Outside Marina Cove Stage 2",2002337-1,2002337,GMB,1,西貢 - 九龍灣(德福花園),8-20min,10-20min,8,20min,20
GMB 1,1,GMB 1-1-NT,NT,"Hiram^s Highway,  Outside Marina Cove Stage 2","Clear Water Bay Road,  Opposite Las Pinadas",2002337-1,2002337,GMB,1,西貢 - 九龍灣(德福花園),8-20min,10-20min,8,20min,20
GMB 1,1,GMB 1-1-NT,NT,"Clear Water Bay Road,  Opposite Las Pinadas",Tseng Lan Shue,2002337-1,2002337,GMB,1,西貢 - 九龍灣(德福花園),8-20min,10-20min,8,20min,20
