stop_u,stop_v,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
The Peak( Public Transport Terminus),Guildford Road,228.0,76.0,228.0,76.0
Guildford Road,No.18 Ice House Street,228.0,76.0,228.0,76.0
No.18 Ice House Street,"Pedder Street,  near MTR exit",694.8571429,304.0,513.0,247.0
"Pedder Street,  near MTR exit",Central (Hong Kong Station Public Transport Interchange),580.8571429,228.0,399.0,171.0
Central (Hong Kong Station Public Transport Interchange),"Man Cheung Street,  lay-by outisde Two International Finance Centre Shopping Mall",646.0,342.0,570.0,285.0
"Man Cheung Street,  lay-by outisde Two International Finance Centre Shopping Mall","Connaught Road Central,  Outside CityHall Carpark",646.0,342.0,570.0,285.0
"Connaught Road Central,  Outside CityHall Carpark","Cotton Tree Drive,  Bus Bay Opposite Murray Building",646.0,342.0,570.0,285.0
"Cotton Tree Drive,  Bus Bay Opposite Murray Building",Guildford Road,228.0,76.0,228.0,76.0
Guildford Road,Matilda & War Memorial Hospital,228.0,76.0,228.0,76.0
Matilda & War Memorial Hospital,The Peak( Public Transport Terminus),228.0,76.0,228.0,76.0
"Fuk Man Road Public Light Bus Terminus,  Outside King Wah Building","Hiram^s Highway,  Outside Hebe Haven Yacht Club",541.5,418.0,513.0,418.0
"Hiram^s Highway,  Outside Hebe Haven Yacht Club","Hiram^s Highway,  Outside Marina Cove Stage 2",1035.5,532.0,1007.0,532.0
"Hiram^s Highway,  Outside Marina Cove Stage 2","Clear Water Bay Road,  Opposite Las Pinadas",142.5,57.0,114.0,57.0
"Clear Water Bay Road,  Opposite Las Pinadas",Tseng Lan Shue,142.5,57.0,114.0,57.0
Tseng Lan Shue,"Clear Water Bay Road,  Outside Choi Wan Commercial Complex Phase Iib",142.5,57.0,114.0,57.0
"Clear Water Bay Road,  Outside Choi Wan Commercial Complex Phase Iib","Clear Water Bay Road,  outside Tsuen Shek House,  Ping Shek Estate",826.5,608.0,703.0,608.0
"Clear Water Bay Road,  outside Tsuen Shek House,  Ping Shek Estate","Telford Plaza Phase Ii,  Ground Floor",142.5,57.0,114.0,57.0
"Telford Plaza Phase Ii,  Ground Floor","Lung Cheung Road,  Near Ngau Chi Wan Fire Station",142.5,57.0,114.0,57.0
"Lung Cheung Road,  Near Ngau Chi Wan Fire Station",Tseng Lan Shue,142.5,57.0,114.0,57.0
Tseng Lan Shue,"Fuk Man Road Public Light Bus Terminus,  Outside King Wah Building",142.5,57.0,114.0,57.0
"Jaffe Road, Percival Street",No.482 Lockhart Road,114.0,57.0,76.0,57.0
No.482 Lockhart Road,"Lockhart Road,  Marsh Road",114.0,57.0,76.0,57.0
"Lockhart Road,  Marsh Road",No. 256 Hennessy Road,114.0,57.0,76.0,57.0
No. 256 Hennessy Road,No. 22 Hennessy Road,171.0,95.0,133.0,95.0
No. 22 Hennessy Road,"Queensway,  outside Pacific Place",171.0,95.0,133.0,95.0
"Queensway,  outside Pacific Place","Caine Road,  Caritas House",114.0,57.0,76.0,57.0
"Caine Road,  Caritas House","Caine Road,  Shelly Street",114.0,57.0,76.0,57.0
"Caine Road,  Shelly Street","Caine Road,  Shing Wong Street",114.0,57.0,76.0,57.0
"Caine Road,  Shing Wong Street","Bonham Road,  Euston Court",114.0,57.0,76.0,57.0
"Bonham Road,  Euston Court",No. 64 Bonham Road,114.0,57.0,76.0,57.0
No. 64 Bonham Road,"Bonham Road,  Centre Street",114.0,57.0,76.0,57.0
"Bonham Road,  Centre Street","Pok Fu Lam Road, East Gate of University of Hong Kong",114.0,57.0,76.0,57.0
"Pok Fu Lam Road, East Gate of University of Hong Kong","Pok Fu Lam Road,  East Gate of University of Hong Kong",114.0,57.0,76.0,57.0
"Pok Fu Lam Road,  East Gate of University of Hong Kong","Pok Fu Lam Road,  West Gate of University of Hong Kong",114.0,57.0,76.0,57.0
"Pok Fu Lam Road,  West Gate of University of Hong Kong","Pok Fu Lam Road,  opposite the Belcher",114.0,57.0,76.0,57.0
"Pok Fu Lam Road,  opposite the Belcher","Pok Fu Lam Road,  Pokfield Road Bus Terminus",114.0,57.0,76.0,57.0
"Pok Fu Lam Road,  Pokfield Road Bus Terminus","Pok Fu Lam Road,  Pok Fu Lam Road Playground",114.0,57.0,76.0,57.0
"Pok Fu Lam Road,  Pok Fu Lam Road Playground","Pok Fu Lam Road,  Queen Mary Hospital",114.0,57.0,76.0,57.0
"Pok Fu Lam Road,  Queen Mary Hospital",Bisney Road,114.0,57.0,76.0,57.0
Bisney Road,"Sandy Bay Road,  The Duchess of Kent Children?????s Hospital",114.0,57.0,76.0,57.0
"Sandy Bay Road,  The Duchess of Kent Children?????s Hospital",Scenic Villa,114.0,57.0,76.0,57.0
