stop_u,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
The Peak( Public Transport Terminus),228.0,76.0,228.0,76.0
Guildford Road,456.0,152.0,456.0,152.0
No.18 Ice House Street,694.8571429,304.0,513.0,247.0
"Pedder Street,  near MTR exit",789.8571429,399.0,627.0,361.0
Central (Hong Kong Station Public Transport Interchange),808.8571429,380.0,627.0,323.0
"Man Cheung Street,  lay-by outisde Two International Finance Centre Shopping Mall",646.0,342.0,570.0,285.0
"Connaught Road Central,  Outside CityHall Carpark",703.0,399.0,646.0,361.0
"Cotton Tree Drive,  Bus Bay Opposite Murray Building",922.8571429,494.0,779.0,475.0
Matilda & War Memorial Hospital,228.0,76.0,228.0,76.0
"Fuk Man Road Public Light Bus Terminus,  Outside King Wah Building",883.5,646.0,855.0,646.0
"Hiram^s Highway,  Outside Hebe Haven Yacht Club",1111.5,570.0,1083.0,570.0
"Hiram^s Highway,  Outside Marina Cove Stage 2",1035.5,532.0,1007.0,532.0
"Clear Water Bay Road,  Opposite Las Pinadas",629.19230769,475.0,558.6,463.6
Tseng Lan Shue,1539.0,934.8,1482.0,934.8
"Clear Water Bay Road,  Outside Choi Wan Commercial Complex Phase Iib",1966.5,1125.38461538,1653.0,1125.38461538
"Clear Water Bay Road,  outside Tsuen Shek House,  Ping Shek Estate",953.1666667,684.0,829.6666667,684.0
"Telford Plaza Phase Ii,  Ground Floor",142.5,57.0,114.0,57.0
"Lung Cheung Road,  Near Ngau Chi Wan Fire Station",725.1666667,231.8,696.6666667,231.8
"Jaffe Road, Percival Street",266.0,133.0,228.0,133.0
No.482 Lockhart Road,285.0,171.0,228.0,171.0
"Lockhart Road,  Marsh Road",114.0,57.0,76.0,57.0
No. 256 Hennessy Road,285.0,171.0,228.0,171.0
No. 22 Hennessy Road,285.0,171.0,228.0,171.0
"Queensway,  outside Pacific Place",285.0,171.0,228.0,171.0
"Caine Road,  Caritas House",114.0,57.0,76.0,57.0
"Caine Road,  Shelly Street",114.0,57.0,76.0,57.0
"Caine Road,  Shing Wong Street",114.0,57.0,76.0,57.0
"Bonham Road,  Euston Court",418.0,197.6,332.5,216.6
No. 64 Bonham Road,399.0,247.0,323.0,247.0
"Bonham Road,  Centre Street",418.0,197.6,332.5,216.6
"Pok Fu Lam Road, East Gate of University of Hong Kong",114.0,57.0,76.0,57.0
"Pok Fu Lam Road,  East Gate of University of Hong Kong",114.0,57.0,76.0,57.0
"Pok Fu Lam Road,  West Gate of University of Hong Kong",114.0,57.0,76.0,57.0
"Pok Fu Lam Road,  opposite the Belcher",114.0,57.0,76.0,57.0
"Pok Fu Lam Road,  Pokfield Road Bus Terminus",114.0,57.0,76.0,57.0
"Pok Fu Lam Road,  Pok Fu Lam Road Playground",114.0,57.0,76.0,57.0
"Pok Fu Lam Road,  Queen Mary Hospital",114.0,57.0,76.0,57.0
Bisney Road,114.0,57.0,76.0,57.0
"Sandy Bay Road,  The Duchess of Kent Children?????s Hospital",722.0,247.0,418.0,247.0
Scenic Villa,114.0,57.0,76.0,57.0
"Sha Wan Drive,  MacLehose Medical Rehabilitation Centre",342.0,171.0,228.0,171.0
"Sha Wan Drive,  Stanley Ho Sports Centre",342.0,171.0,228.0,171.0
Cyberport Public Transport Interchange,532.0,209.0,428.8571429,209.0
Consort Rise,114.0,57.0,76.0,57.0
"Pok Fu Lam Road,  Mount Davis Road",114.0,57.0,76.0,57.0
