route_id,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
2002_1,228,76,228,76
2002_2,228,76,228,76
2002337_1,142.5,57,114,57
2002337_2,142.5,57,114,57
2503_1,114,57,76,57
2503_2,114,57,76,57
2437_1,380,38,380,38
2437_2,380,38,380,38
2779_1,570,570,228,76
2779_2,570,570,228,76
2339_1,95,76,95,57
2339_2,95,76,95,57
2340_1,190,57,190,57
2340_2,190,57,190,57
2341_1,114,57,114,57
2341_2,114,57,114,57
2438_1,162.8571429,57,162.8571429,57
2438_2,162.8571429,57,162.8571429,57
2342_1,87.69230769,57,45.6,45.6
2342_2,87.69230769,57,45.6,45.6
2874_1,57,57,0,0
2874_2,57,57,0,0
2002910_1,57,57,57,45.6
2002910_2,57,57,57,45.6
2000993_1,190,142.5,190,76
2000993_2,190,142.5,190,76
2002350_1,380,228,380,45.6
2002350_2,380,228,380,45.6
2211_1,380,162.8571429,380,228
2211_2,380,162.8571429,380,228
2212_1,380,76,380,76
2212_2,380,76,380,76
2402_1,76,38,76,38
2402_2,76,38,76,38
2899_1,114,38,114,38
2899_2,114,38,114,38
2870_1,142.5,95,142.5,76
2870_2,142.5,95,142.5,76
2842_1,285,95,285,95
2842_2,285,95,285,95
2841_1,95,38,95,38
2841_2,95,38,95,38
2886_1,228,114,228,114
2886_2,228,114,228,114
2425_1,380,142.5,162.8571429,126.6666667
2425_2,380,142.5,162.8571429,126.6666667
2426_1,76,22.8,76,22.8
2426_2,76,22.8,76,22.8
2002285_1,190,76,95,76
2002285_2,190,76,95,76
2002329_1,57,38,38,38
2002329_2,57,38,38,38
2213_1,114,76,114,76
2213_2,114,76,114,76
2002331_1,126.6666667,57,126.6666667,57
2002331_2,126.6666667,57,126.6666667,57
2002335_1,142.5,57,142.5,57
2002335_2,142.5,57,142.5,57
2002336_1,95,95,95,76
2002336_2,95,95,95,76
2002286_1,114,38,114,38
2002286_2,114,38,114,38
200357_1,76,57,76,45.6
200357_2,76,57,76,45.6
2214_1,76,49.56521739,76,49.56521739
2214_2,76,49.56521739,76,49.56521739
2925_1,190,142.5,190,114
2925_2,190,142.5,190,114
2347_1,81.42857143,76,81.42857143,76
2347_2,81.42857143,76,81.42857143,76
2000973_1,228,162.8571429,228,95
2000973_2,228,162.8571429,228,95
2215_1,228,76,228,76
2215_2,228,76,228,76
2893_1,114,57,114,57
2893_2,114,57,114,57
2114_1,570,228,380,228
2114_2,570,228,380,228
2217_1,76,38,95,38
2217_2,76,38,95,38
2002287_1,45.6,38,45.6,38
2002287_2,45.6,38,45.6,38
2115_1,228,87.69230769,228,87.69230769
2115_2,228,87.69230769,228,87.69230769
2414_1,228,87.69230769,228,87.69230769
2414_2,228,87.69230769,228,87.69230769
2002289_1,76,76,76,76
2002289_2,76,76,76,76
2185_1,114,114,114,114
2185_2,114,114,114,114
2002291_1,76,76,76,76
2002291_2,76,76,76,76
2218_1,142.5,76,142.5,76
2218_2,142.5,76,142.5,76
2116_1,162.8571429,142.5,162.8571429,76
2116_2,162.8571429,142.5,162.8571429,76
2428_1,380,76,380,76
2428_2,380,76,380,76
2002091_1,380,228,380,228
2002091_2,380,228,380,228
2002092_1,380,142.5,380,142.5
2002092_2,380,142.5,380,142.5
2002118_1,162.8571429,114,162.8571429,114
2002118_2,162.8571429,114,162.8571429,114
2000991_1,76,76,76,76
2000991_2,76,76,76,76
2003_1,162.8571429,38,57,38
2003_2,162.8571429,38,57,38
2002359_1,285,285,285,285
2002359_2,285,285,285,285
2002352_1,114,76,114,76
2002352_2,114,76,114,76
2101_1,114,76,114,76
2101_2,114,76,114,76
2002349_1,76,38,76,38
2002349_2,76,38,76,38
2002320_1,190,95,190,95
2002320_2,190,95,190,95
