agency_id,agency_name,agency_url,agency_timezone,agency_lang
CTB,Citybus,http://www.bravobus.com.hk,Asia/Hong_Kong,EN
KMB+CTB,Kowloon Motor Bus|Citybus,http://www.kmb.hk|http://www.bravobus.com.hk,Asia/Hong_Kong,EN
KMB,Kowloon Motor Bus,http://www.kmb.com.hk,Asia/Hong_Kong,EN
NLB,New Lantao Bus,http://www.newlantaobus.com,Asia/Hong_Kong,EN
PI,Park Island Transport (Bus Services),http://www.pitcl.com.hk,Asia/Hong_Kong,EN
LWB,Long Win Bus,http://www.lwb.hk,Asia/Hong_Kong,EN
DB,Discovery Bay Transit Services (Bus Services),http://www.dbcommunity.hk,Asia/Hong_Kong,EN
LRTFeeder,MTR Bus,http://www.mtr.com.hk,Asia/Hong_Kong,EN
KMB+NWFB,Kowloon Motor Bus|New World First Bus,http://www.kmb.hk|http://www.bravobus.com.hk,Asia/Hong_Kong,EN
LWB+CTB,Long Win Bus|Citybus,http://www.lwb.hk|http://www.bravobus.com.hk,Asia/Hong_Kong,EN
NWFB,New World First Bus,http://www.bravobus.com.hk,Asia/Hong_Kong,EN
XB,Lok Ma Chau Crossing-boundary Coach Services,https://www.td.gov.hk/en/transport_in_hong_kong/land_based_cross_boundary_transport/access_to_lok_ma_chau_control_point,Asia/Hong_Kong,EN
GMB,Green Minibus Services,https://www.td.gov.hk/en/transport_in_hong_kong/public_transport/minibuses,Asia/Hong_Kong,en
FERRY,Ferry Services,https://www.td.gov.hk/en/transport_in_hong_kong/public_transport/ferries,Asia/Hong_Kong,en
PTRAM,Peak Tram,https://www.thepeak.com.hk/en/the-peak-experience/the-peak-tram-upgrade-project,Asia/Hong_Kong,en
TRAM,HK Tramways,https://www.hktramways.com,Asia/Hong_Kong,en
