service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
266,0,1,1,1,0,0,0,20200101,20991231
271,1,1,1,1,0,0,0,20200101,20991231
272,0,0,0,0,1,0,0,20200101,20991231
287,1,1,1,1,1,0,0,20200101,20991231
288,0,0,0,0,0,1,0,20200101,20991231
319,1,1,1,1,1,1,0,20200101,20991231
320,0,0,0,0,0,0,1,20200101,20991231
415,1,1,1,1,1,0,0,20200101,20991231
416,0,0,0,0,0,1,1,20200101,20991231
447,1,1,1,1,1,1,0,20200101,20991231
448,0,0,0,0,0,0,1,20200101,20991231
480,0,0,0,0,0,1,1,20200101,20991231
511,1,1,1,1,1,1,1,20200101,20991231
31,1,1,1,1,1,0,0,20200101,20991231
63,1,1,1,1,1,1,0,20200101,20991231
