trip_id,start_time,end_time,headway_secs
1000007-1-287-0710,07:10:00,07:50:00,360
1000007-1-287-0750,07:50:00,08:30:00,300
1000007-1-287-0830,08:30:00,09:00:00,360
1000007-1-287-0900,09:00:00,09:30:00,420
1000007-1-287-1700,17:00:00,17:20:00,600
1000007-1-287-1720,17:20:00,17:59:00,360
1000007-1-287-1759,17:59:00,18:20:00,420
1000007-1-287-1820,18:20:00,19:05:00,540
1000016-1-287-0800,08:00:00,13:00:00,1800
1000016-1-288-0700,07:00:00,10:00:00,1800
1000016-1-288-1000,10:00:00,13:00:00,1200
1000016-2-287-1640,16:40:00,17:40:00,1800
1000016-2-287-1840,18:40:00,22:10:00,1800
1000016-2-288-1640,16:40:00,19:10:00,1800
1000016-2-288-1910,19:10:00,22:10:00,1200
1000018-1-319-0900,09:00:00,16:00:00,3600
1000020-1-287-1700,17:00:00,18:00:00,600
1000020-1-287-1800,18:00:00,19:00:00,720
1000021-1-287-1220,12:20:00,16:40:00,1200
1000021-1-287-1640,16:40:00,17:40:00,720
1000021-1-287-1740,17:40:00,20:00:00,1200
1000021-1-288-1220,12:20:00,20:00:00,1020
1000021-1-448-1230,12:30:00,17:00:00,1800
1000021-1-448-1700,17:00:00,20:00:00,1200
1000025-1-319-0515,05:15:00,05:55:00,1200
1000025-1-319-0555,05:55:00,06:12:00,1020
1000025-1-319-0612,06:12:00,07:27:00,900
1000025-1-319-0727,07:27:00,07:50:00,1380
1000025-1-319-0750,07:50:00,08:20:00,1800
1000025-1-319-0820,08:20:00,08:50:00,900
1000025-1-319-0850,08:50:00,11:50:00,1200
1000025-1-319-1150,11:50:00,13:00:00,840
1000025-1-319-1300,13:00:00,14:00:00,1200
1000025-1-319-1400,14:00:00,17:20:00,1500
1000025-1-319-1720,17:20:00,22:40:00,1200
1000025-1-319-2240,22:40:00,23:30:00,1500
1000025-1-448-0515,05:15:00,05:48:00,660
1000025-1-448-0548,05:48:00,07:00:00,720
1000025-1-448-0700,07:00:00,09:15:00,900
1000025-1-448-0915,09:15:00,11:15:00,1200
1000025-1-448-1115,11:15:00,12:00:00,900
1000025-1-448-1200,12:00:00,13:00:00,720
1000025-1-448-1300,13:00:00,22:40:00,1200
1000025-1-448-2240,22:40:00,23:30:00,1500
1000025-2-319-0520,05:20:00,07:00:00,1500
1000025-2-319-0700,07:00:00,10:00:00,1200
1000025-2-319-1000,10:00:00,15:00:00,1500
1000025-2-319-1500,15:00:00,16:00:00,720
1000025-2-319-1600,16:00:00,16:45:00,900
1000025-2-319-1645,16:45:00,17:10:00,1500
1000025-2-319-1710,17:10:00,17:50:00,1200
1000025-2-319-1750,17:50:00,18:15:00,1500
1000025-2-319-1815,18:15:00,19:15:00,1800
1000025-2-319-1915,19:15:00,22:35:00,1200
1000025-2-319-2235,22:35:00,23:05:00,900
1000025-2-319-2305,23:05:00,24:00:00,660
1000025-2-448-0520,05:20:00,07:00:00,1500
1000025-2-448-0700,07:00:00,10:00:00,1200
1000025-2-448-1000,10:00:00,15:00:00,1500
1000025-2-448-1500,15:00:00,16:00:00,900
1000025-2-448-1600,16:00:00,18:00:00,720
1000025-2-448-1800,18:00:00,20:15:00,900
1000025-2-448-2015,20:15:00,22:35:00,1200
1000025-2-448-2235,22:35:00,22:50:00,900
1000025-2-448-2250,22:50:00,24:00:00,840
1000026-1-287-0610,06:10:00,06:40:00,1800
1000026-1-287-0640,06:40:00,07:05:00,1500
1000026-1-287-0705,07:05:00,08:05:00,1800
1000026-1-287-0805,08:05:00,08:30:00,1500
1000026-1-287-0830,08:30:00,22:00:00,1800
1000026-1-287-2200,22:00:00,23:10:00,2100
1000026-1-480-0900,09:00:00,10:00:00,1500
1000026-1-480-1000,10:00:00,22:00:00,1800
1000026-1-480-2200,22:00:00,23:10:00,2100
1000026-2-287-0540,05:40:00,06:40:00,1800
1000026-2-287-0640,06:40:00,07:05:00,1500
1000026-2-287-0705,07:05:00,21:05:00,1800
1000026-2-480-0740,07:40:00,08:05:00,1500
1000026-2-480-0805,08:05:00,21:05:00,1800
1000026-2-480-2105,21:05:00,21:40:00,2100
1000028-1-319-0510,05:10:00,11:30:00,1200
1000028-1-319-1130,11:30:00,12:30:00,900
1000028-1-319-1230,12:30:00,13:30:00,1200
1000028-1-319-1330,13:30:00,16:50:00,1500
1000028-1-319-1650,16:50:00,21:10:00,1200
1000028-1-319-2110,21:10:00,23:40:00,1500
1000028-1-448-0510,05:10:00,05:58:00,720
1000028-1-448-0558,05:58:00,06:58:00,600
1000028-1-448-0658,06:58:00,08:10:00,720
1000028-1-448-0810,08:10:00,11:30:00,1200
1000028-1-448-1130,11:30:00,12:30:00,900
1000028-1-448-1230,12:30:00,14:30:00,1200
1000028-1-448-1430,14:30:00,17:00:00,1500
1000028-1-448-1700,17:00:00,17:20:00,1200
1000028-1-448-1720,17:20:00,17:35:00,900
1000028-1-448-1735,17:35:00,18:15:00,1200
1000028-1-448-1815,18:15:00,19:30:00,1500
1000028-1-448-1930,19:30:00,22:10:00,1200
1000028-1-448-2210,22:10:00,23:40:00,1800
1000028-2-319-0530,05:30:00,06:30:00,1800
1000028-2-319-0630,06:30:00,08:30:00,1200
1000028-2-319-0830,08:30:00,15:10:00,1500
1000028-2-319-1510,15:10:00,15:50:00,1200
1000028-2-319-1550,15:50:00,17:35:00,900
1000028-2-319-1735,17:35:00,18:35:00,720
1000028-2-319-1835,18:35:00,19:20:00,900
1000028-2-319-1920,19:20:00,22:40:00,1200
1000028-2-319-2240,22:40:00,23:16:00,720
1000028-2-319-2316,23:16:00,24:00:00,660
1000028-2-448-0530,05:30:00,06:30:00,1800
1000028-2-448-0630,06:30:00,08:30:00,1200
1000028-2-448-0830,08:30:00,14:20:00,1500
1000028-2-448-1420,14:20:00,15:40:00,1200
1000028-2-448-1540,15:40:00,19:20:00,840
1000028-2-448-1920,19:20:00,20:20:00,1200
1000028-2-448-2020,20:20:00,20:35:00,900
1000028-2-448-2035,20:35:00,21:55:00,1200
1000028-2-448-2155,21:55:00,22:40:00,900
1000028-2-448-2240,22:40:00,24:00:00,660
1000029-1-511-0345,03:45:00,04:15:00,1800
1000029-1-511-0415,04:15:00,04:55:00,1200
1000029-2-511-0010,00:10:00,02:10:00,1800
1000029-2-511-0210,02:10:00,02:30:00,1200
1000031-1-319-0515,05:15:00,05:30:00,900
1000031-1-319-0530,05:30:00,06:10:00,720
1000031-1-319-0610,06:10:00,06:30:00,1200
1000031-1-319-0630,06:30:00,06:40:00,600
1000031-1-319-0640,06:40:00,07:05:00,720
1000031-1-319-0705,07:05:00,07:15:00,600
1000031-1-319-0715,07:15:00,08:30:00,1020
1000036-1-288-0900,09:00:00,12:00:00,3600
1000036-1-448-0900,09:00:00,12:00:00,3600
1000038-1-288-1500,15:00:00,19:00:00,3600
1000038-1-448-1500,15:00:00,19:00:00,3600
1000043-2-288-1630,16:30:00,18:00:00,1800
1000043-2-448-1630,16:30:00,17:00:00,1800
1000043-2-448-1700,17:00:00,18:00:00,900
1000043-2-448-1800,18:00:00,19:00:00,1200
1000044-1-511-0645,06:45:00,15:45:00,2220
1000044-2-511-1045,10:45:00,24:45:00,2220
1000045-1-511-0915,09:15:00,15:55:00,2520
1000045-2-511-1055,10:55:00,24:45:00,2220
1000046-1-511-0650,06:50:00,08:30:00,1620
1000050-1-287-0620,06:20:00,08:50:00,1800
1000050-1-288-0620,06:20:00,08:50:00,1800
1000051-1-287-0650,06:50:00,08:50:00,1200
1000051-1-288-0620,06:20:00,08:50:00,1800
1000053-1-287-1855,18:55:00,22:40:00,900
