Line Code,Direction,Station Code,Station ID,Chinese Name,English Name,Sequence,Line-Direction
AEL,DT,AWE,56,博覽館,AsiaWorld-Expo,1,AEL-DT
AEL,DT,AIR,47,機場,Airport,2,AEL-DT
AEL,DT,TSY,46,青衣,Tsing Yi,3,AEL-DT
AEL,DT,KOW,45,九龍,Kowloon,4,AEL-DT
AEL,DT,HOK,44,香港,Hong Kong,5,AEL-DT
AEL,UT,HOK,44,香港,Hong Kong,1,AEL-UT
AEL,UT,KOW,45,九龍,Kowloon,2,AEL-UT
AEL,UT,TSY,46,青衣,Tsing Yi,3,AEL-UT
AEL,UT,AIR,47,機場,Airport,4,AEL-UT
AEL,UT,AWE,56,博覽館,AsiaWorld-Expo,5,AEL-UT
DRL,DT,SUN,54,欣澳,Sunny Bay,1,DRL-DT
DRL,DT,DIS,55,迪士尼,Disneyland Resort,2,DRL-DT
DRL,UT,DIS,55,迪士尼,Disneyland Resort,1,DRL-UT
DRL,UT,SUN,54,欣澳,Sunny Bay,2,DRL-UT
EAL,DT,LOW,76,羅湖,Lo Wu,1,EAL-DT
EAL,DT,SHS,75,上水,Sheung Shui,2,EAL-DT
EAL,DT,FAN,74,粉嶺,Fanling,3,EAL-DT
EAL,DT,TWO,73,太和,Tai Wo,4,EAL-DT
EAL,DT,TAP,72,大埔墟,Tai Po Market,5,EAL-DT
EAL,DT,UNI,71,大學,University,6,EAL-DT
EAL,DT,FOT,69,火炭,Fo Tan,7,EAL-DT
EAL,DT,SHT,68,沙田,Sha Tin,8,EAL-DT
EAL,DT,TAW,67,大圍,Tai Wai,9,EAL-DT
EAL,DT,KOT,8,九龍塘,Kowloon Tong,10,EAL-DT
EAL,DT,MKK,65,旺角東,Mong Kok East,11,EAL-DT
EAL,DT,HUH,64,紅磡,Hung Hom,12,EAL-DT
EAL,LMC-DT,LMC,78,落馬洲,Lok Ma Chau,1,EAL-LMC-DT
EAL,LMC-DT,SHS,75,上水,Sheung Shui,2,EAL-LMC-DT
EAL,LMC-DT,FAN,74,粉嶺,Fanling,3,EAL-LMC-DT
EAL,LMC-DT,TWO,73,太和,Tai Wo,4,EAL-LMC-DT
EAL,LMC-DT,TAP,72,大埔墟,Tai Po Market,5,EAL-LMC-DT
EAL,LMC-DT,UNI,71,大學,University,6,EAL-LMC-DT
EAL,LMC-DT,FOT,69,火炭,Fo Tan,7,EAL-LMC-DT
EAL,LMC-DT,SHT,68,沙田,Sha Tin,8,EAL-LMC-DT
EAL,LMC-DT,TAW,67,大圍,Tai Wai,9,EAL-LMC-DT
EAL,LMC-DT,KOT,8,九龍塘,Kowloon Tong,10,EAL-LMC-DT
EAL,LMC-DT,MKK,65,旺角東,Mong Kok East,11,EAL-LMC-DT
EAL,LMC-DT,HUH,64,紅磡,Hung Hom,12,EAL-LMC-DT
EAL,LMC-UT,HUH,64,紅磡,Hung Hom,1,EAL-LMC-UT
EAL,LMC-UT,MKK,65,旺角東,Mong Kok East,2,EAL-LMC-UT
EAL,LMC-UT,KOT,8,九龍塘,Kowloon Tong,3,EAL-LMC-UT
EAL,LMC-UT,TAW,67,大圍,Tai Wai,4,EAL-LMC-UT
EAL,LMC-UT,SHT,68,沙田,Sha Tin,5,EAL-LMC-UT
EAL,LMC-UT,FOT,69,火炭,Fo Tan,6,EAL-LMC-UT
EAL,LMC-UT,UNI,71,大學,University,7,EAL-LMC-UT
EAL,LMC-UT,TAP,72,大埔墟,Tai Po Market,8,EAL-LMC-UT
EAL,LMC-UT,TWO,73,太和,Tai Wo,9,EAL-LMC-UT
EAL,LMC-UT,FAN,74,粉嶺,Fanling,10,EAL-LMC-UT
EAL,LMC-UT,SHS,75,上水,Sheung Shui,11,EAL-LMC-UT
EAL,LMC-UT,LMC,78,落馬洲,Lok Ma Chau,12,EAL-LMC-UT
EAL,UT,HUH,64,紅磡,Hung Hom,1,EAL-UT
EAL,UT,MKK,65,旺角東,Mong Kok East,2,EAL-UT
EAL,UT,KOT,8,九龍塘,Kowloon Tong,3,EAL-UT
EAL,UT,TAW,67,大圍,Tai Wai,4,EAL-UT
EAL,UT,SHT,68,沙田,Sha Tin,5,EAL-UT
EAL,UT,FOT,69,火炭,Fo Tan,6,EAL-UT
EAL,UT,UNI,71,大學,University,7,EAL-UT
EAL,UT,TAP,72,大埔墟,Tai Po Market,8,EAL-UT
EAL,UT,TWO,73,太和,Tai Wo,9,EAL-UT
