"from_station_id","to_station_id","fare_octo_adult","fare_octo_child","fare_octo_elderly","fare_octo_pwd","fare_octo_student","fare_single_adult","fare_single_child","fare_single_elderly"
"1","1",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1","10",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"1","15",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"1","20",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"1","30",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"1","240",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"1","250",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"1","260",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"1","265",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"1","920",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"1","40",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"1","50",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"1","60",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"1","70",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"1","75",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"1","80",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"1","170",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"1","180",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"1","190",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"1","200",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"1","212",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"1","220",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"1","230",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"1","270",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"1","275",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"1","280",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"1","295",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"1","300",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"1","310",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"1","320",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"1","330",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"1","90",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
