"ROUTE_ID","ROUTE_NAME_CHI","ROUTE_NAME_ENG"
"506","屯門碼頭至兆麟","Tuen Mun Ferry Pier to Siu Lun"
"K12","大埔墟站至八號花園","Tai Po Market Station to Eightland Garden"
"K14","大埔超級城至大埔墟站","Tai Po Mega Mall to Tai Po Market Station"
"K17","大埔墟站至富善","Tai Po Market Station to Fu Shin"
"K18","大埔墟站至廣福","Tai Po Market Station to Kwong Fuk"
"K51","富泰至大欖","Fu Tai to Tai Lam"
"K52","屯門站至龍鼓灘","Tuen Mun Station to Lung Kwu Tan"
"K53","屯門站至掃管笏","Tuen Mun Station to So Kwun Wat"
"K58","富泰至青山灣","Fu Tai to Castle Peak Bay"
"K65","元朗站至流浮山","Yuen Long Station to Lau Fau Shan"
"K66","朗屏至大棠黃泥墩村","Long Ping to Tai Tong Wong Nai Tun Tsuen"
"K68","元朗工業&#37032;至元朗公園","Yuen Long Industrial Estate to Yuen Long Park"
"K73","天恆至元朗西","Tin Heng to Yuen Long West"
"K74","天瑞至凹頭","Tin Shui to Au Tau"
"K75","天水圍站至洪水橋","Tin Shui Wai Station to Hung Shui Kiu"
"K75A","天水圍站至洪水橋","Tin Shui Wai Station to Hung Shui Kiu"
"K75P","天瑞至洪水橋","Tin Shui to Hung Shui Kiu"
"K76","天恆至天水圍站","Tin Heng to Tin Shui Wai Station"
,,
,,
