"ROUTE_ID","STATION_SEQNO","STATION_NEXT_SEQNO","STATION_NAME_CHI","STATION_NAME_ENG"
"K12",1.00,2.00,"大埔墟站","Tai Po Market Station"
"K12",2.00,3.00,"大埔超級城","Tai Po Mega Mall"
"K12",3.00,4.00,"八號花園","Eightland Garden"
"K12",4.00,5.00,"大埔超級城","Tai Po Mega Mall"
"K12",5.00,1.00,"新達廣場","Uptown Plaza"
"K14",1.00,2.00,"大埔超級城","Tai Po Mega Mall"
"K14",2.00,3.00,"新達廣場","Uptown Plaza"
"K14",3.00,3.00,"大埔墟站","Tai Po Market Station"
"K17",1.00,2.00,"大埔墟站","Tai Po Market Station"
"K17",2.00,3.00,"大埔中心第五期","Tai Po Centre Phase 5"
"K17",3.00,4.00,"怡雅苑","Yee Nga Court"
"K17",4.00,5.00,"富善","Fu Shin"
"K17",5.00,1.00,"新達廣場","Uptown Plaza"
"K18",1.00,2.00,"大埔墟站","Tai Po Market Station"
"K18",2.00,3.00,"宏福苑","Wang Fuk Court"
"K18",3.00,4.00,"廣福","Kwong Fuk"
"K18",4.00,1.00,"新達廣場","Uptown Plaza"
"506",1.00,2.00,"屯門碼頭","Tuen Mun Ferry Pier"
"506",2.00,3.00,"美樂花園","Melody Garden"
"506",3.00,4.00,"輕鐵蝴蝶站","LR Butterfly Stop"
"506",4.00,5.00,"輕鐵車廠站","Light Rail Depot Stop"
"506",5.00,6.00,"輕鐵龍門站","LR Lung Mun Stop"
"506",6.00,7.00,"輕鐵青雲站","LR Tsing Wun Stop"
"506",7.00,8.00,"輕鐵建安站","LR Kin On Stop"
"506",8.00,9.00,"港鐵屯門站","MTR Tuen Mun Station"
"506",9.00,10.00,"屯門市中心","Tuen Mun Town Centre"
"506",10.00,11.00,"安定&#37032;","On Ting Estate"
"506",11.00,12.00,"輕鐵三聖站","LR Sam Shing Stop"
"506",12.00,13.00,"兆麟","Siu Lun"
"506",13.00,14.00,"友愛&#37032;","Yau Oi Estate"
"506",14.00,15.00,"輕鐵市中心站","LR Town Centre Stop"
"506",15.00,16.00,"輕鐵屯門站","LR Tuen Mun Stop"
"506",16.00,17.00,"輕鐵建安站","LR Kin On Stop"
"506",17.00,18.00,"輕鐵青雲站","LR Tsing Wun Stop"
"506",18.00,19.00,"聖彼得堂","SKH St. Peter's Church"
"506",19.00,20.00,"富健花園","Glorious Garden"
"506",20.00,21.00,"新屯門中心","Sun Tuen Mun Centre"
"506",21.00,22.00,"輕鐵蝴蝶站","LR Butterfly Stop"
