stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,stop_timezone,label,agency_id,attribute
12972,[LRTFeeder] HUNG SHUI KIU BUS DEPOT,22.43623,113.99972,12972,0,Asia/Hong_Kong,FB,,0.8478849050983245
1154,"[KMB+CTB] SEWAGE TREATMENT WORKS/<BR>SEWAGE TREATMENT PLANT, LEE NAM ROAD|[NWFB] SEWAGE TREATMENT PLANT, LEE NAM ROAD",22.239729999999998,114.14968,1154,0,Asia/Hong_Kong,FB,,0.9802672795355372
13023,"[NWFB] TIU KENG LENG STATION, KING LING ROAD",22.30486,114.25298000000001,13023,0,Asia/Hong_Kong,FB,,0.9599658801782612
10146,[KMB] TAI HONG WAI|[LWB] TAI HONG WAI,22.4402,114.06379,10146,0,Asia/Hong_Kong,FB,,0.8192423945828711
10231,"[KMB+NWFB] DIAMOND HILL CREMATORIUM/<BR>DIAMOND HILL CREMATORIUM, PO KONG VILLAGE ROAD|[KMB] DIAMOND HILL CREMATORIUM",22.344620000000003,114.20727,10231,0,Asia/Hong_Kong,FB,,0.8931255829743409
8340,"[KMB] SZE MEI STREET, SAN PO KONG|[NWFB] SAN PO KONG",22.33773,114.20161,8340,0,Asia/Hong_Kong,FB,,0.9664540948568481
MTR-WKS,Wu Kai Sha,22.4291,114.2438,,,,MTR,,0.0
1042,"[CTB] WONG TAI SIN TEMPLE, WONG TAI SIN ROAD|[KMB] WONG TAI SIN TEMPLE",22.34345,114.19386999999999,1042,0,Asia/Hong_Kong,FB,,0.8868631960943966
8230,[KMB] KWUN TONG (TSUI PING ROAD) BUS TERMINUS,22.31568,114.22945,8230,0,Asia/Hong_Kong,FB,,0.7773849379584669
511,"[CTB] HING WAI INDUSTRIAL CENTRE, TIN WAN PRAYA ROAD|[KMB+CTB] HING WAI INDUSTRIAL CENTRE/<BR>HING WAI INDUSTRIAL CENTRE, TIN WAN PRAYA ROAD|[NWFB] HING WAI INDUSTRIAL CENTRE, TIN WAN PRAYA ROAD",22.24857,114.14726,511,0,Asia/Hong_Kong,FB,,0.8800416076958395
9155,"[KMB] BLOCK 4,TSUI CHUK GARDEN",22.34579,114.1871,9155,0,Asia/Hong_Kong,FB,,0.8378635005500401
10244,[KMB] LUNG WING HOUSE,22.33918,114.19375,10244,0,Asia/Hong_Kong,FB,,0.8567702200569157
1082,[CTB] KWUN TONG STATION|[KMB+CTB] KWUN TONG STATION/<BR>KWUN TONG STATION|[KMB+NWFB] KWUN TONG STATION/<BR>KWUN TONG STATION|[KMB] KWUN TONG STATION,22.3116,114.2279,1082,0,Asia/Hong_Kong,FB,,0.9262997028861265
135,"[CTB] MARSH ROAD, HENNESSY ROAD|[NWFB] MARSH ROAD, HENNESSY ROAD",22.2792,114.18051000000001,135,0,Asia/Hong_Kong,FB,,0.9637430566763149
8018,"[CTB] SMITHFIELD, CATCHICK STREET|[NWFB] SMITHFIELD, CATCHICK STREET",22.28337,114.12841,8018,0,Asia/Hong_Kong,FB,,0.8840011563485397
9004,"[KMB] PENINSULA HOTEL|[NWFB] PENINSULA HOTEL, NATHAN ROAD",22.295189999999998,114.17221,9004,0,Asia/Hong_Kong,FB,,0.9706076085917874
10188,[KMB] SHUI TSAN TIN|[LWB] SHUI TSAN TIN,22.427120000000002,114.08198999999999,10188,0,Asia/Hong_Kong,FB,,0.9824533467609232
10169,[KMB] SHUI KAN SHEK,22.45159,114.09823999999999,10169,0,Asia/Hong_Kong,FB,,0.9116941929041699
6241,[KMB] CHEUNG SHUE TAN,22.42623,114.19637,6241,0,Asia/Hong_Kong,FB,,0.9757617593400483
8121,[KMB] NG FAI TIN,22.31635,114.28209,8121,0,Asia/Hong_Kong,FB,,0.9546344499021426
1452,"[NWFB] WAN CHAI GAP ROAD, PEAK ROAD",22.267789999999998,114.16984,1452,0,Asia/Hong_Kong,FB,,0.9064365834278375
12881,[KMB+NWFB] MEI CHI HOUSE/<BR>MEI CHI HOUSE MEI TIN ESTATE|[KMB] MEI CHI HOUSE,22.3768,114.17121999999999,12881,0,Asia/Hong_Kong,FB,,0.8934987803338045
6041,"[KMB+CTB] SUN MING HOUSE SUN CHUI ESTATE/<BR>SUN CHUI ESTATE, CHE KUNG MIU ROAD|[KMB] SUN MING HOUSE SUN CHUI ESTATE|[LWB] SUN MING HOUSE SUN CHUI ESTATE",22.371979999999997,114.18005,6041,0,Asia/Hong_Kong,FB,,0.8965922434700744
1275,"[CTB] CHUNG HOM KOK FIRE STATION, CHUNG HOM KOK ROAD|[NWFB] CHUNG HOM KOK FIRE STATION, CHUNG HOM KOK ROAD",22.21994,114.20336999999999,1275,0,Asia/Hong_Kong,FB,,0.9826503105917409
9882,"[CTB] LONG BIN, CASTLE PEAK ROAD|[KMB] LONG BIN|[LRTFeeder] LONG BIN|[NLB] LONG BIN",22.44342,114.01482,9882,0,Asia/Hong_Kong,FB,,0.7354768488086056
12634,[LRTFeeder] YUEN LONG THEATRE,22.44088,114.02226999999999,12634,0,Asia/Hong_Kong,FB,,0.8636052149368555
538,"[CTB] WONG CHUK HANG COMPLEX FOR ELDERLY, NAM FUNG ROAD",22.2507,114.17442,538,0,Asia/Hong_Kong,FB,,0.9712031090014981
