IMT Distance,Variable,Robustness,Number of IMT edges,Number of edges
0,RND,0.0936534236874671,0,15551
0,ND,0.026319430243038393,0,15551
0,BC,0.030041937540271024,0,15551
50,RND,0.2570527295857896,7726,23277
50,ND,0.11643062163150084,7726,23277
50,BC,0.0915717578520065,7726,23277
100,RND,0.3044289483162563,15148,30699
100,ND,0.16043483283764326,15148,30699
100,BC,0.10920906906133959,15148,30699
150,RND,0.3401090253989307,25812,41363
150,ND,0.20418329132334362,25812,41363
150,BC,0.1145744703175921,25812,41363
200,RND,0.3646937654298649,39394,54945
200,ND,0.2351633667892883,39394,54945
200,BC,0.118493872808555,39394,54945
250,RND,0.3861168497282931,56192,71743
250,ND,0.2597252255445006,56192,71743
250,BC,0.12170357378636597,56192,71743
300,RND,0.39969443755044254,75590,91141
300,ND,0.2766811943927959,75590,91141
300,BC,0.12918593804905906,75590,91141
350,RND,0.41157582376661184,97256,112807
350,ND,0.29357501015541815,97256,112807
350,BC,0.1314775078636234,97256,112807
400,RND,0.4224526284812955,121580,137131
400,ND,0.3047188271493245,121580,137131
400,BC,0.1276925294881862,121580,137131
500,RND,0.43531071430330404,176038,191589
500,ND,0.3180526297982341,176038,191589
500,BC,0.13450508584620596,176038,191589
600,RND,0.44293562540993736,238080,253631
600,ND,0.3283822124614097,238080,253631
600,BC,0.1284207323849804,238080,253631
700,RND,0.4503955714668407,306400,321951
700,ND,0.333165109217051,306400,321951
700,BC,0.12017345154232803,306400,321951
800,RND,0.45528973723538363,380270,395821
800,ND,0.3382524982756666,380270,395821
800,BC,0.1289642105294715,380270,395821
900,RND,0.45983721753537155,457872,473423
900,ND,0.341064072604226,457872,473423
900,BC,0.1372415561205425,457872,473423
1000,RND,0.46253677230300044,538704,554255
1000,ND,0.34467904060903826,538704,554255
1000,BC,0.13924953441396543,538704,554255
1100,RND,0.46534619375788144,622152,637703
1100,ND,0.3495006457282682,622152,637703
1100,BC,0.14099733699991926,622152,637703
1200,RND,0.46903422804154504,709082,724633
1200,ND,0.351658716496489,709082,724633
1200,BC,0.14271305124861855,709082,724633
1300,RND,0.47202373311026036,798272,813823
1300,ND,0.3542703891564762,798272,813823
1300,BC,0.14877312164381368,798272,813823
1400,RND,0.4753758085522217,888860,904411
1400,ND,0.3547755636551454,888860,904411
1400,BC,0.15525554393746704,888860,904411
1500,RND,0.47820533500459644,982784,998335
1500,ND,0.35641958504223115,982784,998335
1500,BC,0.15818194247825607,982784,998335
1600,RND,0.47983760699592126,1077296,1092847
1600,ND,0.3531786629795239,1077296,1092847
1600,BC,0.1524537406521438,1077296,1092847
